0:0:0:0:0:0:0:1 - - [29/Apr/2021:17:20:46 +0900] "GET /21.04.29/ex04.html HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [29/Apr/2021:17:21:13 +0900] "GET /21.04.29/ex04.html HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [29/Apr/2021:17:21:32 +0900] "GET /21.04.29/ex04.html HTTP/1.1" 200 420
0:0:0:0:0:0:0:1 - - [29/Apr/2021:17:22:02 +0900] "GET /21.04.29/ex04.html HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [29/Apr/2021:17:28:07 +0900] "GET /21.04.29/ex05_img.html HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [29/Apr/2021:17:28:07 +0900] "GET /21.04.29/l_2021031401001628900137951.jpg HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [29/Apr/2021:17:28:07 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [29/Apr/2021:17:28:29 +0900] "GET /21.04.29/ex05_img.html HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [29/Apr/2021:17:28:29 +0900] "GET /21.04.29/img HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:17:28:29 +0900] "GET /21.04.29/img/ HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [29/Apr/2021:17:29:05 +0900] "GET /21.04.29/ex05_img.html HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [29/Apr/2021:17:29:05 +0900] "GET /21.04.29/img/l_2021031401001628900137951.jpg HTTP/1.1" 200 61239
0:0:0:0:0:0:0:1 - - [29/Apr/2021:17:31:36 +0900] "GET /21.04.29/ex05_img.html HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [29/Apr/2021:17:31:36 +0900] "GET /21.04.29/img/l_2021031401001628900137951.jpg HTTP/1.1" 304 -
